source,title,timestamp,continent,feed_url
Mail & Guardian SA,From Jan Smuts to Gareth Prince: The struggle for the liberation of cannabis continues,2025-06-05T16:32:44.371712,Africa,https://mg.co.za/feed/
Mail & Guardian SA,Profits before people: How the liquor industry undermines reforms,2025-06-05T16:32:44.371716,Africa,https://mg.co.za/feed/
Mail & Guardian SA,Sanitation crisis in Ramaphosa informal settlement dehumanises people,2025-06-05T16:32:44.371720,Africa,https://mg.co.za/feed/
News24 South Africa,News24 | Rand hits strongest level in months,2025-06-05T16:32:45.186793,Africa,https://feeds.news24.com/articles/news24/TopStories/rss
News24 South Africa,News24 | Sponsored | Zolani Mahola to Open Africa’s Greatest Horse Racing Event,2025-06-05T16:32:45.186813,Africa,https://feeds.news24.com/articles/news24/TopStories/rss
News24 South Africa,News24 | Three Cape Town restaurants make the World’s Best list for 2025,2025-06-05T16:32:45.186824,Africa,https://feeds.news24.com/articles/news24/TopStories/rss
News24 South Africa,News24 | Jan’s mosbolletjie roosterkoek smores,2025-06-05T16:32:45.186833,Africa,https://feeds.news24.com/articles/news24/TopStories/rss
News24 South Africa,News24 | Sponsored | The Heritage Behind Your Cup,2025-06-05T16:32:45.186842,Africa,https://feeds.news24.com/articles/news24/TopStories/rss
Morocco World News,Infantino: Morocco’s U17 Women’s World Cup Will Elevate African Football,2025-06-05T16:32:46.602633,Africa,https://www.moroccoworldnews.com/feed/
Morocco World News,Diaz Out of Morocco Friendlies But Says ‘This is Home’,2025-06-05T16:32:46.602645,Africa,https://www.moroccoworldnews.com/feed/
Morocco World News,Three Journalists Killed in Israeli Attack on Al-Ahli Hospital in Gaza,2025-06-05T16:32:46.602653,Africa,https://www.moroccoworldnews.com/feed/
Morocco World News,"US Vetoes Ceasefire, Again",2025-06-05T16:32:46.602656,Africa,https://www.moroccoworldnews.com/feed/
Morocco World News,Morocco Brings Digital Classrooms to Rural Schools in National Expansion Drive,2025-06-05T16:32:46.602660,Africa,https://www.moroccoworldnews.com/feed/
BBC News Latin America,What we know about Trump's latest travel ban,2025-06-05T16:32:47.238131,South America,https://feeds.bbci.co.uk/news/world/latin_america/rss.xml
BBC News Latin America,Indigenous lawyer leads race for chief justice in Mexico,2025-06-05T16:32:47.238149,South America,https://feeds.bbci.co.uk/news/world/latin_america/rss.xml
BBC News Latin America,Mexican police arrest suspect in killing of five band members,2025-06-05T16:32:47.238158,South America,https://feeds.bbci.co.uk/news/world/latin_america/rss.xml
BBC News Latin America,Trump's 50% tariffs on metals come into effect,2025-06-05T16:32:47.238166,South America,https://feeds.bbci.co.uk/news/world/latin_america/rss.xml
BBC News Latin America,British journalist missing in Brazil found safe,2025-06-05T16:32:47.238173,South America,https://feeds.bbci.co.uk/news/world/latin_america/rss.xml
Buenos Aires Times,"Milei removes ESMA museum director, sparking backlash from rights groups",2025-06-05T16:32:48.218448,South America,https://www.batimes.com.ar/feed
Buenos Aires Times,Dismissal threats end strike at Garrahan Children's Hospital,2025-06-05T16:32:48.218455,South America,https://www.batimes.com.ar/feed
Buenos Aires Times,"Chile, Google sign deal for first-ever South America-Asia fibre optic cable",2025-06-05T16:32:48.218458,South America,https://www.batimes.com.ar/feed
Buenos Aires Times,Argentina’s state energy firm YPF to sign LNG export deal with Italy's ENI,2025-06-05T16:32:48.218460,South America,https://www.batimes.com.ar/feed
Buenos Aires Times,Newell's Old Boys suspends nine-year-old footballers over photo with Central player,2025-06-05T16:32:48.218462,South America,https://www.batimes.com.ar/feed
Colombia Reports,Mexico attack that killed 8 soldiers allegedly carried out by mercenaries from Colombia,2025-06-05T16:32:50.162384,South America,https://colombiareports.com/feed/
Colombia Reports,“It’s a coup d’état”: Petro’s labor referendum draws ire of Colombia’s opposition parties,2025-06-05T16:32:50.162403,South America,https://colombiareports.com/feed/
Colombia Reports,Uribe witness was coached ahead of giving testimony: recordings,2025-06-05T16:32:50.162409,South America,https://colombiareports.com/feed/
Colombia Reports,Guatemala’s government rejects arrest warrants against Colombia’s chief prosecutor and former minister,2025-06-05T16:32:50.162413,South America,https://colombiareports.com/feed/
Colombia Reports,Guatemala’s prosecution orders arrest of Colombia’s chief prosecutor and former defense minister,2025-06-05T16:32:50.162418,South America,https://colombiareports.com/feed/
ABC News Australia,Socceroos all-but qualify for World Cup with smash-and-grab win in Perth,2025-06-05T16:32:51.258182,Oceania,https://www.abc.net.au/news/feed/2942460/rss.xml
ABC News Australia,'Showboating a bit': Hawk backs teammate's antics as they claim important win,2025-06-05T16:32:51.258200,Oceania,https://www.abc.net.au/news/feed/2942460/rss.xml
ABC News Australia,Knights fans who booed their team 'don't know anything about rugby league',2025-06-05T16:32:51.258204,Oceania,https://www.abc.net.au/news/feed/2942460/rss.xml
ABC News Australia,"Once brothers in arms, Cleary and Luai set for first meeting as NRL foes",2025-06-05T16:32:51.258208,Oceania,https://www.abc.net.au/news/feed/2942460/rss.xml
ABC News Australia,Outback community unites to help police families,2025-06-05T16:32:51.258213,Oceania,https://www.abc.net.au/news/feed/2942460/rss.xml
Sydney Morning Herald,Explore Good Food’s Essential Sydney Cafes and Bakeries,2025-06-05T16:32:52.242664,Oceania,https://www.smh.com.au/rss/feed.xml
